country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Denmark,,22.4,21.8,23,22.1,22.1,21.2,20.7,19.6,19.8,18.9,15.6,17.7,17.7,19.3,17.7,16.3,16.1,18.8,19.2,19.7,22.5,21.7,21.6,23.3,21.8,21.4,21.8,20.8,23.4,28.3,26.4,25.9,24.6,24.8,23.8,23.6,23.6,21.8,22.1,19.6,18.3,17.7,17.8,15.2,14.2,13.6,12.5,11.7,11.9,11,10.7,10.2,9.33,10.1,8.97,9.31,8.4,8.74,8.69,7.86,8.37,9.22,8.37,8.69,7.59,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.7,13,12.2,12.3,12.4,11.8,11.7,11.2,10.6,10.4,10.4,10.3,10.2,9.72,9.21,8.64,8.29,8.35,8.4,8.84,8.77,8.5,8.71,8.76,8.53,
