country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,20500,21700,22700,22700,24600,25500,26000,27300,28600,30300,30500,31200,32300,33400,32900,32300,34100,34700,35300,36600,36400,36100,37500,38500,40100,41700,43700,43800,43700,44000,44600,45100,45800,45700,47900,49100,50300,51700,52600,54000,55900,56100,56200,56300,57600,58800,60900,61200,60500,57200,58000,58600,58500,58800,59400,60400,61900,62700,63900
Germany,,,,,,,,,,,19700,20300,21000,22000,22200,22000,23200,24100,24800,25800,26100,26200,26200,26600,27500,28200,28800,29200,30100,31100,32400,33800,34200,33700,34400,34800,35000,35500,36300,36900,37900,38500,38400,38100,38500,38800,40400,41600,42100,39800,41500,44000,44100,44100,44900,45300,46000,46900,47500
