country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,158,209,227,172,312,271,341,312,334,359,458,455,649,664,491,627,543,785,678,755,649,1020,939,917,1090,946,1140,1190,1140,1150,1240,1460,1540,1530,1450,1640,1860,1970,2120,2430,2420,2540,2430,2490,2810,3000,2870,3090,3170,3000,3400,3530,4320,4630,4810,5250,5150,5360,5510,5730,6180,6010,6550,5840,7240,8010,7360,7840,9290,9530,9770,10500,10200,7440,8680,8240,7200,6800,9660,10500,12400,10700,10500,13300,12600,15100,13800,14300,13400,13400,14700,15300,15800,16300,14600,16300,14800,17400,16500,20600,20300,14100,17700,21500,17100,16900,22000,21900,22900,23200,25600,27100,26400,24900,26800,26100,29800,31700,36900,40700,43200,44300,50100,49100,53300,59400,62100,57100,59600,59300,55100,55800,60100,61800,61100,63000,60400,51800,53700,50200,50900,60100,58900,58300,55100,48800,50200,60300,54300,57100,61000,57200,72200,61600,59600,55100,51300,52900,52000,56000,50600,47100,55000,50300,46900,44500,46600,40600,36400,38500,33500
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,480,444,447,535,550,576,627,796,535,554,535,1010,1040,939,2690,898,931,979,928,913,891,884,1030,2390,3380,3530,3280,3380,3530,3630,4040,3230,4340,4190,4540,4540,3630,4800,4590,3450,4380,4420,4940,5200,5960,6640,7030,9180,9560,10900,10300,10900,12600,13200,13900,12800,13600,15200,16900,19200,20800,24400,28600,30900,33000,35600,33800,36400,41400,45600,49400,56700,63500,63000,69200,74400,77700,76700,85400,92200,98400,71700,102000,104000,101000,105000,111000,125000,134000,144000,153000,158000,161000,163000,171000,186000,199000,208000,221000,215000,221000,230000,238000,256000,274000,286000,304000,327000,326000,319000,344000,356000,383000,362000,443000,447000,446000,446000,459000,500000,536000,498000,463000,501000,525000,504000,388000,430000,474000,456000,332000,452000,458000,414000,481000,505000,539000,462000,386000,348000,365000,409000,453000,500000,564000,602000,649000,655000,661000,668000,680000,601000,1800,1290,318000,378000,433000,511000,577000,612000,624000,660000,724000,767000,779000,757000,757000,815000,836000,884000,946000,970000,961000,952000,937000,986000,1050000,1030000,1040000,1040000,1090000,1060000,1000000,1090000,1060000,1080000,1120000,1100000,1050000,1020000,1020000,1040000,1050000,1050000,1040000,1030000,1020000,1010000,930000,892000,878000,866000,864000,890000,862000,855000,822000,830000,854000,830000,823000,817000,797000,816000,781000,781000,722000,759000,732000,740000,757000,720000
