country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Denmark,0.291,0.287,0.282,0.278,0.274,0.27,0.267,0.264,0.261,0.259,0.258,0.257,0.257,0.258,0.259,0.261,0.264,0.267,0.271,0.275,0.278,0.281,0.284,0.286,0.288,0.29,0.292,0.294,0.296,0.297,0.299,0.3,0.302,0.303,0.303,0.303,0.303,0.302,0.301,0.3,0.299,0.299,0.299,0.299,0.299,0.298,0.296,0.295,0.293,0.29,0.287,0.283,0.278,0.272,0.266,0.261,0.257,0.254,0.251,0.249,0.248,0.246,0.245,0.245,0.246,0.247,0.248,0.248,0.249,0.249,0.25,0.251,0.252,0.254,0.255,0.256,0.257,0.258,0.258,0.258,0.256,0.254,0.252,0.248,0.245,0.242,0.24,0.238,0.236,0.235,0.234,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.232,0.232,0.233,0.233,0.234,0.235,0.237,0.237,0.238,0.238,0.239,0.239,0.239,0.238,0.238,0.237,0.236,0.236,0.235,0.234,0.233,0.232,0.231,0.23,0.229,0.228,0.228,0.227,0.227,0.227,0.227,0.227,0.226,0.227,0.227,0.227,0.227,0.227,0.227,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.227,0.227,0.226,0.226,0.225,0.225,0.224
Germany,0.265,0.262,0.258,0.256,0.255,0.258,0.261,0.267,0.275,0.281,0.284,0.287,0.287,0.286,0.284,0.282,0.281,0.279,0.278,0.277,0.277,0.277,0.278,0.28,0.281,0.282,0.281,0.28,0.278,0.278,0.279,0.28,0.283,0.287,0.291,0.296,0.301,0.306,0.311,0.315,0.317,0.318,0.317,0.315,0.312,0.31,0.306,0.301,0.296,0.291,0.286,0.281,0.276,0.271,0.266,0.261,0.257,0.252,0.247,0.244,0.241,0.239,0.239,0.239,0.239,0.24,0.24,0.241,0.242,0.242,0.242,0.24,0.239,0.237,0.234,0.232,0.229,0.226,0.223,0.22,0.218,0.216,0.214,0.213,0.212,0.211,0.211,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.211,0.211,0.212,0.212,0.213,0.214,0.215,0.215,0.216,0.216,0.217,0.217,0.216,0.216,0.215,0.214,0.214,0.213,0.213,0.212,0.212,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.212,0.212,0.212,0.213,0.213,0.214,0.214,0.215,0.215,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.215,0.215,0.215,0.214,0.213,0.213,0.213,0.212,0.212,0.211
