country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Denmark,141,147,144,140,145,147,146,142,144,149,145,141,150,149,139,147,126,132,126,130,131,134,134,125,126,124,126,121,116,122,131,135,141,142,138,132,146,139,136,147,142,158,158,159,139,148,172,147,144,147,146,152,152
Germany,94.3,93.6,95.1,98.7,95,99.2,96.5,103,101,106,108,110,115,114,110,117,110,116,118,118,119,121,119,114,119,123,119,120,116,96.5,120,126,117,111,121,110,115,112,113,115,125,124,133,135,140,132,126,136,132,137,133,130,133
