country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Denmark,2010,2020,2020,2020,2030,2030,2030,2040,2040,2050,2050,2070,2100,2120,2140,2170,2190,2220,2240,2260,2290,2370,2380,2350,2390,2380,2380,2420,2440,2380,2390,2370,2430,2400,2510,2470,2460,2500,2500,2510,2570,2540,2530,2650,2740,2790,2820,2780,2900,3040,3180,2990,3060,3040,3020,3310,3080,3090,3030,3200,3130,3140,3200,3360,3290,3370,3340,3310,3330,3490,3600,3580,3750,3700,3770,3790,3830,3680,3780,3860,3920,3920,4030,4130,4110,4090,4200,4300,4290,4310,4530,4590,4670,4720,4780,4980,5100,5140,5160,5300,5420,5580,5640,5910,5980,6010,6110,6260,6380,6550,6660,6930,6850,7030,7390,6790,6990,6500,6210,6940,7170,6880,7490,8190,8140,7870,8260,8370,8600,9120,9600,9630,9290,9510,9710,9850,10000,10200,10400,10800,9190,8220,8320,9130,9960,9100,10400,10800,11000,11700,12500,12500,12500,13100,13200,13300,13400,14300,14500,15500,15800,16700,17500,17500,19000,19700,20100,20600,21400,22600,22900,23400,24500,25300,24900,24700,26300,26600,26900,27800,27700,27500,28400,29100,30400,31700,32900,32900,33300,33400,33800,34200,34700,34600,36300,37200,38100,39200,39900,40900,42300,42500,42600,42600,43700,44600,46200,46400,45900,43400,44000,44400,44300,44600,45100,45800,46500,47300,47700,48300,48900,49500,50000,50500,50900,51400,52000,52700,53400,54300,55300,56300,57400,58600,59800,61000,62200,63500,64800,66100,67400
Germany,1990,2010,2020,2040,2050,2070,2080,2100,2110,2130,2150,2160,2180,2190,2210,2230,2240,2260,2280,2290,2310,2330,2350,2360,2380,2400,2420,2430,2450,2470,2490,2510,2530,2540,2560,2580,2600,2620,2640,2660,2680,2700,2720,2740,2760,2780,2800,2820,2840,2860,2880,2840,2880,2860,2920,2870,3090,3220,3180,3160,3310,3200,3320,3530,3600,3580,3580,3570,3760,3760,3720,3670,3900,4040,4290,4270,4180,4110,4250,4100,4020,4090,4130,4330,4400,4480,4470,4600,4730,4810,4900,4840,4990,5180,5250,5430,5530,5610,5750,5870,6030,5800,5850,6080,6230,6270,6370,6560,6570,6620,6760,6890,7120,7370,6180,5860,5930,5960,6030,5230,5650,6220,6730,5550,6460,7130,7280,7960,8260,8180,8030,7380,6790,7180,7790,8320,8990,9460,10100,10900,10900,11500,11600,11900,12300,9120,4480,4920,5720,6630,7840,8500,9200,9910,10600,11700,12500,13100,13600,14500,15600,16000,16600,16900,17800,18500,18900,18900,19800,20900,21700,22100,22900,23900,24100,24000,25200,26000,26700,27800,28000,28000,27800,28300,29200,29900,30500,30900,31800,32600,31300,32600,33000,32500,33200,33700,33800,34400,35100,35800,36800,37300,37300,37000,37400,37700,39100,40500,41000,38800,40400,42700,42800,42900,43700,44000,44700,45500,46000,46200,46700,47400,48100,48800,49400,50000,50700,51500,52300,53300,54200,55300,56400,57500,58700,59900,61100,62300,63600,64900,66200
